Locus_tag	Old_locus_tag	Mutant_norm_replica1	Mutant_norm_replica2	Mutant_norm_replica3	WildType_norm_replica1	WildType_norm_replica2	WildType_norm_replica3	FoldChange	pvalue	padj
SMLT_RS00005	Smlt0001	1644.718143	1609.045177	1855.614814	2019.302515	2308.007911	2764.390048	0.720651367	0.009639376	0.014834092
SMLT_RS00010	Smlt0002	3359.977245	3059.751513	3987.461111	3503.355793	3490.92482	3472.466955	0.994165712	0.958916671	0.966360491
SMLT_RS00015	Smlt0004	238.3541869	305.6819312	226.6750045	526.9987666	560.6598739	630.043942	0.449490861	4.96E-09	1.39E-08
SMLT_RS00020	Smlt0005	6102.164198	5740.516075	6098.200019	6938.645209	6646.207967	6809.098749	0.879684043	0.150255852	0.189806731
SMLT_RS00025	Smlt0006	299.9847087	251.4362168	213.8270285	585.7833648	612.2003556	592.4725142	0.428017422	1.18E-10	3.73E-10
SMLT_RS00030	Smlt0007	4993.557341	4690.788196	5697.159627	1020.995653	1083.6072	1160.379095	4.712737832	7.60E-45	1.20E-43
SMLT_RS00035	Smlt0008	10392.53956	8988.661487	11561.34294	12817.10503	10531.85745	8059.071248	0.985074159	0.921419477	0.93527402
SMLT_RS00040	Smlt0009	5317.303215	4281.746187	5161.215487	10622.48003	11268.50921	9150.087708	0.475472912	5.10E-10	1.55E-09
SMLT_RS00045	Smlt0010	8149.337074	6620.909359	9223.929028	23797.4492	23990.20859	20369.49405	0.352019033	6.79E-16	3.00E-15
SMLT_RS00050	Smlt0011	3751.293931	3018.700702	4067.302105	10373.93462	9526.189516	9005.582216	0.374866017	1.47E-15	6.39E-15
SMLT_RS00055	Smlt0012	2105.090716	1636.901085	1869.380503	6186.821136	6179.829462	6145.818544	0.303108706	3.59E-27	2.84E-26
SMLT_RS00060	Smlt0013	261.3728155	255.8345179	258.7949444	149.5397674	165.9352093	183.5219739	1.560030472	0.000535089	0.000957638
SMLT_RS00065	Smlt0014	135.1416262	109.224479	162.4351247	172.2285597	130.7368316	122.8296676	0.949950469	0.768151686	0.803709854
SMLT_RS00070	Smlt0015	363.1003033	345.9996919	412.9706559	416.6487313	442.4938915	621.3736125	0.758770997	0.066587221	0.090504994
SMLT_RS00075	Smlt0016	420.2756067	314.4785335	301.9274351	572.3763512	897.5586322	888.7087713	0.440093811	1.69E-06	3.90E-06
SMLT_RS00080	Smlt0017	109.1528519	119.4871817	76.17014321	100.0369479	51.54048168	62.13736125	1.419467326	0.115604772	0.149503694
SMLT_RS00085	Smlt0018	121.7759709	93.83042492	77.08785577	142.3206062	222.5040307	209.5329623	0.512031366	0.000413576	0.000750514
SMLT_RS00090	Smlt0019	262.8578883	186.1947495	173.4476755	184.6042646	271.5303425	280.3406531	0.847951532	0.361271398	0.419907504
SMLT_RS00095	Smlt0020	700.9543688	447.893669	723.1575042	139.22668	167.1922942	134.3901069	4.244395464	5.89E-17	2.75E-16
SMLT_RS00100	Smlt0021	237.6116504	163.4701934	275.3137706	101.0682566	131.9939165	82.36813003	2.138562967	0.000101383	0.000197196
SMLT_RS00105	Smlt0023	54.94769417	48.38131285	33.03765247	33.00187971	26.3987833	41.90659247	1.359020154	0.1982495	0.243862298
