Gene_ID	Mutant_fpkm_replica1	Mutant_fpkm_replica2	Mutant_fpkm_replica3	WildType_fpkm_replica1	WildType_fpkm_replica2	WildType_fpkm_replica3
SMLT_RS00005	107.3109398	104.4860947	121.3753185	131.0443364	156.7346095	186.19786
SMLT_RS00010	265.2196865	240.3772282	315.5410875	275.0540356	286.8038751	282.9634826
SMLT_RS00015	18.91757246	24.14627448	18.03583653	41.60222652	46.3145228	51.62217636
SMLT_RS00020	215.5785381	201.8414299	215.9798993	243.8151394	244.3828118	248.3328168
SMLT_RS00025	30.81665489	25.70703296	22.02110026	59.85325396	65.45684254	62.83150085
SMLT_RS00030	537.7658837	502.7670098	615.080034	109.3632614	121.4591354	129.004824
SMLT_RS00035	760.2597281	654.4448711	847.8882552	932.5982525	801.9002881	608.6226966
SMLT_RS00040	828.1594608	663.7143456	805.8692218	1645.556579	1826.686853	1471.196379
SMLT_RS00045	929.4457596	751.5487467	1054.648545	2699.58205	2847.809213	2398.307468
SMLT_RS00050	765.2938716	612.9216196	831.8472952	2105.014067	2022.746489	1896.626375
SMLT_RS00055	441.9032696	341.9924979	393.4088669	1291.77928	1350.230728	1331.861244
SMLT_RS00060	15.54772822	15.14619027	15.4330708	8.847642777	10.27354126	11.26983208
SMLT_RS00065	43.49928481	34.99054457	52.41588928	55.13945896	43.79918499	40.81493429
SMLT_RS00070	42.41411566	40.22511185	48.36075077	48.40812072	53.79800638	74.93064312
SMLT_RS00075	154.1141722	114.7723155	110.9943847	208.7634333	342.5676275	336.4268969
SMLT_RS00080	42.16084528	45.93389609	29.49504278	38.43253307	20.72038367	24.77706599
SMLT_RS00085	31.49771604	24.15454658	19.98911032	36.61420446	59.90049939	55.94904333
SMLT_RS00090	20.91968383	14.74820873	13.83861484	14.61302698	22.49197369	23.03260351
SMLT_RS00095	90.24906563	57.39388652	93.34174182	17.82952565	22.40496771	17.86253595
SMLT_RS00100	43.56584374	29.83010065	50.60534258	18.43136618	25.18879614	15.59051474
SMLT_RS00105	3.667712018	3.214113054	2.210777178	2.191032338	1.834022945	2.887692559
SMLT_RS00110	2.837722253	1.342465639	1.432444388	1.887490501	1.543287494	1.266913078
SMLT_RS00115	11.48898956	10.00012252	12.2623086	9.229604474	8.636855028	7.589424305
SMLT_RS00120	6.971899961	6.411810821	6.012282101	7.319813902	4.717417704	6.947399461
SMLT_RS00135	19.04587505	17.79615574	21.37724298	6.448757831	5.001108863	5.852141314
SMLT_RS00140	15.41998354	13.77351954	13.47580471	9.482369448	11.24317886	8.448934183
SMLT_RS00145	38.98802657	22.98456073	29.3173618	36.77339666	48.80029385	38.8942315
SMLT_RS00150	4.140544832	3.076019137	4.254333339	4.324845815	10.8548901	9.332992431
SMLT_RS00155	1.571553267	1.544126266	0.851895113	2.985156502	4.672989969	2.762654698
SMLT_RS00160	1.645172875	1.980164789	1.324963335	2.585224401	2.753956697	3.429170612
SMLT_RS00165	1.253046719	1.12858015	2.00538	5.193065724	2.94393327	2.936996985
SMLT_RS00170	1.289606436	1.62188802	1.086538371	2.422877187	4.817425576	4.249036748
SMLT_RS00175	14.50155192	10.68635137	14.97311634	11.35213244	14.90572955	13.35320058
SMLT_RS00180	16.60470097	14.60926304	10.56734253	10.11382449	9.176549892	9.856238002
SMLT_RS00185	9.782474869	7.434502403	6.763484564	5.861045912	4.618850079	3.528929435
SMLT_RS00190	3.450101904	3.065639804	2.602022729	1.616344724	1.321587896	2.169831604
SMLT_RS00195	31.9400343	31.27586808	27.19057431	6.753608201	7.08291016	5.456542017
SMLT_RS00200	59.08617557	59.48184494	64.43746955	59.55713562	51.81695206	53.24479886
SMLT_RS00205	34.01091606	42.64453136	36.24377525	194.5995425	216.9088297	196.4471017
SMLT_RS00210	119.3008803	142.7813799	148.4145747	379.5628861	472.891306	433.1280587
SMLT_RS00215	18.61378761	22.80061158	21.80283093	22.90421395	24.49042482	25.13699139
SMLT_RS00220	193.4053585	139.7169514	206.6131049	29.18993138	28.17578612	17.20983695
SMLT_RS00225	26.36265836	17.79808696	33.06469376	17.4273559	29.92353225	19.17092446
SMLT_RS00230	82.81944944	64.16297309	74.92118222	30.00625924	21.11217292	17.45524685
SMLT_RS00235	39.98539092	32.88835278	39.15840188	44.05405514	24.87250739	17.61995744
SMLT_RS00240	66.3381426	81.63683588	52.49048817	77.35201332	41.66452125	50.14353849
SMLT_RS00245	1506.025659	2231.769593	1531.627473	55.0617704	144.7999074	200.8264241
SMLT_RS00250	0	0	0	0	0	0
SMLT_RS00255	0	0	0	0	0	0
SMLT_RS00260	0	0	0	0	0	0
SMLT_RS00265	0	0	0	0	0	0
SMLT_RS00270	0	0	0	0	0	0
SMLT_RS00275	0	0	0	0	0	0
SMLT_RS00280	0	0	0	0	0	0
SMLT_RS00285	0	0	0	0	0	0
SMLT_RS00290	0	0	0	0	0	0
SMLT_RS00295	0	0	0	0	0	0
SMLT_RS00300	0	0	0	0	0	0
SMLT_RS00305	0	0	0	0	0	0
SMLT_RS00310	56.45279417	58.0474579	72.69904911	70.5926446	84.70373262	85.21427872
SMLT_RS00315	213.905252	187.3203479	199.552878	59.13006815	47.33082564	52.20996671
SMLT_RS00320	197.0789744	268.1532086	201.4811461	332.7840441	239.8019735	209.3265931
SMLT_RS00325	746.9807892	777.6956284	423.5484522	65.29921815	26.79776201	37.43535374
SMLT_RS00330	2213.285574	2537.645863	1683.199357	68.30662792	12.46479129	16.38720417
SMLT_RS00335	27.08746673	28.70216184	30.76513276	13.94078137	16.37790037	12.53792099
SMLT_RS00340	28.79649571	28.63482539	34.60480389	9.825410641	8.558773742	14.4633567
SMLT_RS00345	19.43105731	21.9014601	19.56637989	50.36437004	74.43214972	76.63952296
SMLT_RS00350	78.30125079	80.55078146	80.4281607	24.01814173	24.37429117	18.22967914
SMLT_RS00355	47.16995334	44.3085961	65.16925267	86.32128337	82.66589901	84.6618895
SMLT_RS00360	8.527430441	6.944432143	10.37530012	19.8459601	26.12609352	20.52751107
SMLT_RS00365	99.77117214	63.83848809	107.0634032	8.214969157	9.44344465	5.457286938
SMLT_RS00370	83.84319962	65.14499285	82.41561694	10.30051565	11.72067199	6.250666187
SMLT_RS00375	43.64931844	46.12725	52.62339992	22.99184573	18.25990727	16.24536028
SMLT_RS00380	163.9314255	128.0236146	182.0454636	28.45610079	25.04821029	19.93746973
SMLT_RS00385	123.0563373	119.1950711	125.0970147	13.38552977	20.48818425	7.786632933
SMLT_RS00390	77.23191215	81.26534261	89.20109747	35.85642613	25.17551791	22.64444802
SMLT_RS00395	101.2407099	84.85695384	98.68766989	125.9730971	185.1940378	217.1291677
SMLT_RS00400	73.36477563	79.7420931	81.63024762	55.98643321	35.70585733	47.18248158
SMLT_RS00405	142.5520383	120.1416459	138.1760905	8.768619173	8.854422249	8.678585353
SMLT_RS00410	333.9902352	327.7265024	354.9232428	34.24051566	32.28786073	33.07877027
SMLT_RS00415	43.24975999	43.84196818	49.82616877	38.32851999	41.69920656	47.74068543
SMLT_RS00420	24.952337	25.96613758	24.21537936	35.82885631	25.34095703	27.90506768
SMLT_RS00425	73.51111621	71.64648479	101.7182862	63.2484702	71.80732648	65.02195684
SMLT_RS00430	75.00786481	82.82539127	99.33982098	189.2939899	208.9595233	232.2148381
SMLT_RS00435	63.1986022	67.77246748	63.32638255	143.1764939	160.2269136	172.8632511
SMLT_RS00440	58.95772146	49.99429409	50.55938867	21.12690194	21.53301358	17.9467661
SMLT_RS00445	81.66210484	82.06431633	77.86429321	72.31201246	64.37928248	81.2693271
SMLT_RS00450	107.8695096	130.5411157	105.4327584	41.95182506	18.3941713	24.78553968
SMLT_RS00455	136.2807353	145.1928222	130.3090319	104.925113	88.52297066	92.76619094
SMLT_RS00460	106.9121313	114.4241662	111.5507084	133.9182363	142.4505459	154.8328127
SMLT_RS00465	157.1103712	156.8071358	129.4679299	51.88849132	47.08736345	51.36033134
SMLT_RS00470	24.71117971	24.35304848	33.4765723	17.17145781	18.09907764	16.14985391
SMLT_RS00475	5.518294995	5.237746481	5.177752113	3.404558655	5.85303794	4.143982047
SMLT_RS00480	35.34527634	44.19981346	40.25469519	17.44728824	16.59245378	14.43515738
SMLT_RS00485	69.89145828	89.83539447	82.63062977	19.85060544	15.77383236	13.06659928
SMLT_RS00490	202.0345058	197.0453589	251.7602818	111.3202435	143.44881	176.1875444
SMLT_RS00495	32.38817254	32.78362111	31.34655936	12.49417517	8.075953307	7.243559528
SMLT_RS00500	189.2100546	188.3702868	218.3923509	79.33850411	52.25481555	23.91554688
SMLT_RS00505	190.942932	162.1123004	191.852587	62.14043793	42.47590584	31.39808381
SMLT_RS00510	219.8004116	208.1730428	193.9056634	63.96468242	41.59709102	29.20729719
SMLT_RS00515	116.2981547	109.6266513	104.2422762	49.29502809	31.88114651	24.43510909
SMLT_RS00520	15.24149296	12.60202113	12.68471172	8.739963555	6.587444266	6.817467791
SMLT_RS00525	65.03215337	64.88023559	80.36965286	26.95160854	16.16025385	26.13049145
SMLT_RS00530	64.79029205	60.4861037	71.71268407	8.432883754	10.52865024	8.435519011
SMLT_RS00535	79.48691919	73.26879131	70.05707236	69.90306089	47.64966279	34.98422939
SMLT_RS00540	21.69877501	24.52425903	22.61158835	22.78505951	34.58799734	34.27026553
SMLT_RS00545	52.24751911	47.1850337	52.01985336	36.66151459	55.62171755	53.05652195
SMLT_RS00550	41.40486457	48.1345661	49.6068865	66.47424304	110.4230231	139.8893362
SMLT_RS00555	28.01162736	29.21358217	32.33793847	31.16865225	38.24005766	52.24311589
SMLT_RS00560	4.066687279	3.785414017	4.596721887	8.476170293	10.12007575	10.96520623
SMLT_RS00565	4.915865419	4.85934611	4.651205725	9.178172254	9.292044227	8.619220277
SMLT_RS00570	1.782967101	2.656031359	1.496510933	15.33466333	15.20179446	10.39952714
SMLT_RS00575	6.690598954	4.735987604	5.704807404	23.45467143	14.19783203	11.70729376
SMLT_RS00580	16.52646374	14.04719439	23.4831418	32.8867775	25.42283838	20.29035112
SMLT_RS00585	18.68508579	10.92583834	16.03646139	27.70124042	16.70307902	19.59361003
SMLT_RS00590	97.20873636	57.18385354	127.0319191	95.15758073	62.60406411	36.32070557
SMLT_RS00595	94.09422874	56.34768195	126.2187003	60.35866941	35.12125896	19.9030624
SMLT_RS00600	69.593232	45.88364812	89.41207435	22.12303275	20.55409293	15.09375814
SMLT_RS00605	48.37269705	40.72397641	45.76368672	18.11943664	10.90870883	12.64853057
SMLT_RS00610	58.28845632	52.76618212	51.67253008	15.5654589	9.540246338	9.211533789
SMLT_RS00615	43.27139436	56.03293074	69.7294546	27.64267543	18.07010204	15.57779298
SMLT_RS00620	9.013813835	13.0010029	11.03819599	67.45914913	38.92088182	44.65751198
SMLT_RS00625	94.36269279	73.57452102	119.8089442	29.01502995	23.42128043	20.38481735
SMLT_RS00630	12.47182292	10.03389625	11.63002782	24.85327818	25.65162058	23.9214802
SMLT_RS00635	296.1297466	298.0067185	410.1892353	90.70417415	39.34707003	43.83318153
SMLT_RS00640	647.6189396	652.4006309	542.7651087	159.6060263	56.97390355	73.65714002
SMLT_RS00645	41.66380341	42.8860457	38.03753032	25.67682497	17.11161213	16.15348342
SMLT_RS00650	15.30625004	12.09937665	16.81855841	30.62954138	26.24917368	28.40980957
SMLT_RS00655	24.32927032	19.24034573	28.30641829	92.42662148	66.91864868	73.91394185
SMLT_RS00660	67.0577761	63.88603088	62.99598404	88.13458703	77.24200674	92.48838719
SMLT_RS00665	31.9400343	25.42632006	29.88271038	44.03352547	47.78092908	46.09686696
SMLT_RS00670	63.75253519	62.88496177	71.07239225	147.0289869	169.5204242	186.0158898
SMLT_RS00675	90.04942444	71.48680147	86.48883027	176.8385959	185.9855098	163.9658779
SMLT_RS00680	20.05003665	20.87429952	19.08425347	27.69813141	40.71078092	40.28140574
SMLT_RS00685	273.0915444	280.0417745	307.4653491	116.3871813	172.6240872	181.4750979
SMLT_RS00690	8.685426347	7.656535521	8.448227758	40.70514347	56.49713448	72.89610683
SMLT_RS00695	7.32276948	7.914468455	8.335884303	1063.575463	1265.964905	1041.960831
SMLT_RS00700	7.424024589	5.985197384	6.132352428	407.6071499	465.2358971	298.6862812
SMLT_RS00705	6.313394022	8.330027072	5.643326743	107.338479	154.0758703	129.1944424
SMLT_RS00710	110.4903719	121.4639022	128.1229722	41.41128113	47.64531361	47.20763484
SMLT_RS00715	73.49006266	80.46599757	73.9956783	40.25775501	49.10843957	48.32616596
SMLT_RS00720	193.3908549	184.7822814	216.2631364	193.2946987	207.564819	229.6611765
SMLT_RS00725	2.838646893	3.006036864	2.852795803	2.091439959	3.668045889	4.879204668
SMLT_RS00730	33.78506569	37.61354182	36.51494729	10.4928941	9.315178685	10.49875678
SMLT_RS00735	28.41363427	29.44929321	28.9697251	11.19728664	11.61421293	11.72105895
SMLT_RS00740	232.8809311	233.0437011	245.0594788	63.34173587	51.86745591	44.35307101
SMLT_RS00745	771.6039866	657.3157115	849.0430399	372.2304478	342.0350414	268.3929425
SMLT_RS00750	60.36270986	61.26841451	55.17593373	61.43506966	57.28058927	67.25157382
